len,Triton-flash-bias,Triton-Attn-Bias,PyTorch-Attn-Bias,PyTorch-Compile-Attn-Bias,xFormers-Attn-Bias,PyTorch-SDPA
256.000000,0.056089,0.069220,0.053320,0.061771,0.071481,0.130718
512.000000,0.223513,0.273790,0.211081,0.251169,0.282726,0.514296
1024.000000,0.875468,1.052840,0.844865,1.007151,1.130868,2.053282
2048.000000,3.586125,3.867031,2.939797,4.023757,4.544233,8.221160
4096.000000,10.816037,11.311813,4.485552,14.316367,14.169616,19.111081
8192.000000,23.759831,17.101211,4.499378,16.769590,20.509626,20.896406
16384.000000,25.674538,17.423740,4.830911,16.054713,22.346985,22.144853
