len,Triton-flash-bias,PyTorch-SDPA-flash-bias,Triton-Attn-Bias,PyTorch-Attn-Bias,PyTorch-Compile-Attn-Bias,xFormers-Attn-Bias,PyTorch-SDPA
256.000000,0.051734,0.074329,0.065412,0.044773,0.058678,0.067004,0.115152
512.000000,0.205676,0.294030,0.250090,0.177582,0.230373,0.265962,0.455871
1024.000000,0.803007,1.168864,0.989888,0.718502,0.920658,1.066539,1.831568
2048.000000,3.302906,4.694088,3.634881,2.742092,3.683980,4.242857,7.355366
4096.000000,10.360647,17.362052,10.476736,4.554574,13.027800,13.400472,18.675479
8192.000000,23.441409,27.121063,16.936920,4.593031,17.241809,20.694641,21.271755
16384.000000,25.609727,30.119790,17.493595,4.914962,16.510992,23.009365,23.221682
